,clstr_num,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,2.0,0.79,0.207,0.328,0.568,0.737,0.118,0.204,0.529,0.339,0.08,0.13,0.452
1,3.0,0.597,0.223,0.325,0.669,0.658,0.151,0.245,0.669,0.286,0.096,0.144,0.591
2,4.0,0.565,0.282,0.376,0.751,0.605,0.185,0.284,0.751,0.214,0.097,0.133,0.665
3,5.0,0.452,0.295,0.357,0.783,0.605,0.242,0.346,0.813,0.143,0.084,0.106,0.71
4,6.0,0.452,0.368,0.406,0.824,0.421,0.211,0.281,0.824,0.161,0.118,0.136,0.755
5,7.0,0.306,0.339,0.322,0.828,0.368,0.25,0.298,0.858,0.125,0.125,0.125,0.789
6,8.0,0.306,0.396,0.345,0.845,0.368,0.292,0.326,0.875,0.125,0.146,0.135,0.806
7,9.0,0.306,0.396,0.345,0.845,0.368,0.292,0.326,0.875,0.089,0.104,0.096,0.798
8,10.0,0.306,0.475,0.373,0.862,0.368,0.35,0.359,0.892,0.125,0.175,0.146,0.824
9,11.0,0.274,0.5,0.354,0.867,0.342,0.382,0.361,0.901,0.089,0.147,0.111,0.828
10,12.0,0.242,0.5,0.326,0.867,0.342,0.433,0.382,0.91,0.089,0.167,0.116,0.837
11,13.0,0.242,0.517,0.33,0.869,0.342,0.448,0.388,0.912,0.089,0.172,0.118,0.839
12,14.0,0.226,0.538,0.318,0.871,0.316,0.462,0.375,0.914,0.089,0.192,0.122,0.845
13,15.0,0.226,0.56,0.322,0.873,0.316,0.48,0.381,0.916,0.089,0.2,0.123,0.847
14,16.0,0.226,0.583,0.326,0.875,0.316,0.5,0.387,0.918,0.089,0.208,0.125,0.849
15,17.0,0.226,0.609,0.329,0.877,0.316,0.522,0.393,0.92,0.089,0.217,0.127,0.852
16,18.0,0.194,0.571,0.289,0.873,0.289,0.524,0.373,0.92,0.089,0.238,0.13,0.856
17,19.0,0.226,0.778,0.35,0.888,0.316,0.667,0.429,0.931,0.089,0.278,0.135,0.862
18,20.0,0.194,0.75,0.308,0.884,0.289,0.688,0.407,0.931,0.089,0.312,0.139,0.867
19,2.0,0.832,0.255,0.391,0.582,0.813,0.172,0.284,0.544,0.483,0.137,0.213,0.469
20,3.0,0.677,0.289,0.405,0.68,0.757,0.223,0.345,0.68,0.441,0.174,0.249,0.605
21,4.0,0.652,0.362,0.465,0.759,0.72,0.276,0.399,0.759,0.385,0.197,0.261,0.675
22,5.0,0.561,0.394,0.463,0.79,0.72,0.348,0.47,0.819,0.329,0.213,0.258,0.719
23,6.0,0.561,0.475,0.515,0.829,0.589,0.344,0.434,0.829,0.343,0.268,0.301,0.763
24,7.0,0.445,0.483,0.463,0.834,0.551,0.413,0.472,0.863,0.315,0.315,0.315,0.796
25,8.0,0.445,0.543,0.489,0.85,0.551,0.465,0.504,0.879,0.315,0.354,0.333,0.813
26,9.0,0.445,0.543,0.489,0.85,0.551,0.465,0.504,0.879,0.287,0.323,0.304,0.804
27,10.0,0.445,0.622,0.519,0.867,0.551,0.532,0.541,0.896,0.315,0.405,0.354,0.829
28,11.0,0.419,0.657,0.512,0.871,0.533,0.576,0.553,0.904,0.287,0.414,0.339,0.834
29,12.0,0.394,0.67,0.496,0.871,0.533,0.626,0.576,0.913,0.287,0.451,0.35,0.842
30,13.0,0.394,0.685,0.5,0.873,0.533,0.64,0.582,0.915,0.287,0.461,0.353,0.844
31,14.0,0.381,0.711,0.496,0.875,0.514,0.663,0.579,0.917,0.287,0.494,0.363,0.85
32,15.0,0.381,0.728,0.5,0.877,0.514,0.679,0.585,0.919,0.287,0.506,0.366,0.852
33,16.0,0.381,0.747,0.504,0.879,0.514,0.696,0.591,0.921,0.287,0.519,0.369,0.854
34,17.0,0.381,0.766,0.509,0.881,0.514,0.714,0.598,0.923,0.287,0.532,0.373,0.856
35,18.0,0.355,0.753,0.482,0.877,0.495,0.726,0.589,0.923,0.287,0.562,0.38,0.861
36,19.0,0.381,0.881,0.532,0.892,0.514,0.821,0.632,0.933,0.287,0.612,0.39,0.867
